mes,ano,alta,P_1-10,P_11-20,P_21-30,UR_1-10,UR_11-20,UR_21-30,TMAX_1-10,TMAX_11-20,TMAX_21-30,TMIN_1-10,TMIN_11-20,TMIN_21-30,NDR>1mm_1-10,NDR>1mm_11-20,NDR>1mm_21-30,NDR>10mm_1-10,NDR>10mm_11-20,NDR>10mm_21-30,NRH80_1-10,NRH80_11-20,NRH80_21-30,NRH90_1-10,NRH90_11-20,NRH90_21-30
dezembro,2014,5,"86,41","38,92","38,94","76,103","61,844","69,181","27,371","29,368","29,542","17,768","14,501","18,048",5,"6,7",7,2,"1,5",0,"1,2",0,0,0,0,0
janeiro,2015,7,"42,99","63,18","30,98","74,502","75,35","73,923","28,885","27,883","27,112","18,368","17,309","16,571","6,7","6,4","7,1","2,6","1,1","2,1","2,9","3,7","1,6",0,0,0
fevereiro,2015,29,"71,71","5,66","22,83","77,365","52,08","68,396","27,069","35,035","30,64","18,285","18,448","18,594","5,4",4,"4,4","1,7",0,"0,1","1,1","0,4","0,7",0,0,0
março,2015,39,"15,89","50,51","90,62","76,099","81,833","81,648","27,968","26,642","26,423","17,15","18,358","18,055","7,4",10,8,1,"1,6","2,1","5,3","6,4","3,6",1,0,0
abril,2015,"94,4","56,13","42,31","43,41","81,193","83,021","77,693","26,611","24,717","26,905","16,832","17,18","17,571","6,1","6,2","4,5","0,9","0,8","0,2","6,8","7,2","1,7","0,9",1,0
maio,2015,100,"18,8","10,55","9,25","77,682","77,388","78,847","25,941","26,713","26,211","15,28","16,434","15,471",5,"2,5","4,6",0,0,"0,1","4,6","1,5","3,9",0,0,"0,1"
junho,2015,100,"7,36","3,35","34,19","70,903","78,491","78,681","25,516","22,934","24,934","12,772","12,656","13,821","1,7","3,1","2,6",0,"1,9","0,1","1,5","3,6","2,5",0,1,0
julho,2015,100,"2,16","5,86","5,8","73,058","74,147","72,844","22,716","25,155","24,764","10,48","12,846","12,705","2,4","0,9","3,5",0,0,0,"1,5",1,"1,5",0,0,0
agosto,2015,0,"2,69","0,22","1,21","63,555","62,947","73,927","26,199","26,248","23,779","12,358","11,742","12,932","0,6",0,0,0,0,0,0,"0,7","0,3",0,0,0
setembro,2015,0,"18,46","1,88","0,06","56,847","53,442","50,8","29,152","27,636","28,208","12,679","11,487","11,831","1,5","0,6","0,3","0,6",0,0,0,0,0,0,0,0
